TIME,S1,S2,S1_NORM,S2_NORM,THR1,THR2
11308,3449,3810,,,,
,,,,,,
11408,3451,3811,,,,
,,,,,,
11508,3453,3813,,,,
,,,,,,
11608,3449,3811,,,,
,,,,,,
11708,3439,3805,,,,
,,,,,,
11808,3448,3823,,,,
,,,,,,
11908,3449,3802,,,,
,,,,,,
12008,3449,3813,,,,
,,,,,,
12108,3451,3811,,,,
,,,,,,
12208,3451,3810,,,,
,,,,,,
12308,3451,3811,,,,
,,,,,,
12408,3449,3805,,,,
,,,,,,
12508,3451,3811,,,,
,,,,,,
12608,3451,3811,,,,
,,,,,,
12708,3448,3811,,,,
,,,,,,
12808,3449,3809,,,,
,,,,,,
12908,3467,3811,,,,
,,,,,,
13008,3449,3811,,,,
,,,,,,
13108,3451,3814,,,,
,,,,,,
13208,3451,3806,,,,
,,,,,,
13308,3451,3811,,,,
,,,,,,
13408,3451,3807,,,,
,,,,,,
13508,3451,3813,,,,
,,,,,,
13608,3449,3811,,,,
,,,,,,
13708,3451,3809,,,,
,,,,,,
13808,3445,3807,,,,
,,,,,,
13908,3455,3807,,,,
,,,,,,
14008,3449,3810,,,,
,,,,,,
14108,3453,3811,,,,
,,,,,,
14208,3450,3851,,,,
,,,,,,
14308,3450,4095,,,,
,,,,,,
14408,3451,3817,,,,
,,,,,,
14508,3449,3813,,,,
,,,,,,
14608,3452,3810,,,,
,,,,,,
14708,3452,3812,,,,
,,,,,,
14808,3451,3811,,,,
,,,,,,
14908,3451,3811,,,,
,,,,,,
15008,3453,3809,,,,
,,,,,,
15108,3451,3807,,,,
,,,,,,
15208,3447,3806,,,,
,,,,,,
15308,3437,3803,,,,
,,,,,,
15408,3475,3783,,,,
,,,,,,
15508,3421,3819,,,,
,,,,,,
15608,3451,3806,,,,
,,,,,,
15708,3449,3812,,,,
,,,,,,
15808,3449,3811,,,,
,,,,,,
15908,3451,3811,,,,
,,,,,,
16008,3449,3811,,,,
,,,,,,
16108,3449,3811,,,,
,,,,,,
16208,3469,3811,,,,
,,,,,,
16308,3454,3811,,,,
,,,,,,
16408,3503,3813,,,,
,,,,,,
16508,3451,3797,,,,
,,,,,,
16608,3451,3815,,,,
,,,,,,
16708,3451,3808,,,,
,,,,,,
16808,3451,3811,,,,
,,,,,,
16908,3451,3812,,,,
,,,,,,
17008,3449,3813,,,,
,,,,,,
17108,3453,3811,,,,
,,,,,,
17208,3453,3811,,,,
,,,,,,
17308,3451,3811,,,,
,,,,,,
17408,3451,3812,,,,
,,,,,,
17508,3451,3811,,,,
,,,,,,
17608,3449,3813,,,,
,,,,,,
17708,3451,3847,,,,
,,,,,,
17808,3451,3815,,,,
,,,,,,
17908,3451,3815,,,,
,,,,,,
18008,3451,4068,,,,
,,,,,,
18108,3451,3811,,,,
,,,,,,
18208,3451,3806,,,,
,,,,,,
18308,3451,3811,,,,
,,,,,,
18408,3451,3812,,,,
,,,,,,
18508,3451,3813,,,,
,,,,,,
18608,3449,3805,,,,
,,,,,,
18708,3451,3811,,,,
,,,,,,
18808,3451,3811,,,,
,,,,,,
18908,3451,3807,,,,
,,,,,,
19008,3450,3848,,,,
,,,,,,
19108,3451,3811,,,,
,,,,,,
19208,3451,3806,,,,
,,,,,,
19308,3449,3810,,,,
,,,,,,
19408,3451,3807,,,,
,,,,,,
19508,3451,3811,,,,
,,,,,,
19608,3449,3807,,,,
,,,,,,
19708,3451,3807,,,,
,,,,,,
19808,3451,3811,,,,
,,,,,,
19908,3451,3812,,,,
,,,,,,
20008,3451,3815,,,,
,,,,,,
20108,3451,3741,,,,
,,,,,,
20208,3451,3827,,,,
,,,,,,
20308,3451,3793,,,,
,,,,,,
20408,3451,3811,,,,
,,,,,,
20508,3451,3811,,,,
,,,,,,
20608,3450,3813,,,,
,,,,,,
20708,3450,3811,,,,
,,,,,,
20808,3451,3811,,,,
,,,,,,
20908,3451,3807,,,,
,,,,,,
21008,3450,3811,,,,
,,,,,,
21108,3453,3814,,,,
,,,,,,
21208,3452,3847,,,,
,,,,,,
21308,3451,3753,,,,
,,,,,,
21408,3451,3811,,,,
,,,,,,
21508,3451,3815,,,,
,,,,,,
21608,3451,3813,,,,
,,,,,,
21708,3451,3813,,,,
,,,,,,
21808,3451,3811,,,,
,,,,,,
21908,3451,3813,,,,
,,,,,,
22008,3451,3813,,,,
,,,,,,
22108,3451,3811,,,,
,,,,,,
22208,3453,3811,,,,
,,,,,,
22308,3451,3811,,,,
,,,,,,
22408,3449,3813,,,,
,,,,,,
22508,3453,3814,,,,
,,,,,,
22608,3453,3886,,,,
,,,,,,
22708,3451,3556,,,,
,,,,,,
22808,3450,3811,,,,
,,,,,,
22908,3453,3813,,,,
,,,,,,
23008,3451,3811,,,,
,,,,,,
23108,3451,3812,,,,
,,,,,,
23208,3450,3811,,,,
,,,,,,
23308,3450,3812,,,,
,,,,,,
23408,3451,3811,,,,
,,,,,,
23508,3451,3813,,,,
,,,,,,
23608,3451,3818,,,,
,,,,,,
23708,3451,3686,,,,
,,,,,,
23808,3450,3815,,,,
,,,,,,
23908,3451,3811,,,,
,,,,,,
24008,3451,3811,,,,
,,,,,,
24108,3451,3814,,,,
,,,,,,
24208,3451,3813,,,,
,,,,,,
24308,3451,3811,,,,
,,,,,,
24408,3451,3811,,,,
,,,,,,
24508,3451,3811,,,,
,,,,,,
24608,3451,3813,,,,
,,,,,,
24708,3451,3812,,,,
,,,,,,
24808,3453,3813,,,,
,,,,,,
24908,3451,3770,,,,
,,,,,,
25008,3453,3821,,,,
,,,,,,
25108,3453,3721,,,,
,,,,,,
25208,3452,3813,,,,
,,,,,,
25308,3453,3815,,,,
,,,,,,
25408,3453,3812,,,,
,,,,,,
25508,3452,3815,,,,
,,,,,,
25608,3454,3811,,,,
,,,,,,
25708,3455,3813,,,,
,,,,,,
25808,3451,3812,,,,
,,,,,,
25908,3451,3815,,,,
,,,,,,
26008,3451,3813,,,,
,,,,,,
26108,3453,3813,,,,
,,,,,,
26208,3451,3828,,,,
,,,,,,
26308,3451,3817,,,,
,,,,,,
26408,3452,3815,,,,
,,,,,,
26508,3453,3813,,,,
,,,,,,
26608,3453,3811,,,,
,,,,,,
26708,3454,3813,,,,
,,,,,,
26808,3452,3812,,,,
,,,,,,
26908,3453,3815,,,,
,,,,,,
27008,3451,3815,,,,
,,,,,,
27108,3451,3813,,,,
,,,,,,
27208,3451,3816,,,,
,,,,,,
27308,3453,3875,,,,
,,,,,,
27408,3450,3803,,,,
,,,,,,
27508,3451,3813,,,,
,,,,,,
27608,3449,3812,,,,
,,,,,,
27708,3453,3815,,,,
,,,,,,
27808,3451,3812,,,,
,,,,,,
27908,3451,3812,,,,
,,,,,,
28008,3451,3811,,,,
,,,,,,
28108,3451,3813,,,,
,,,,,,
28208,3451,3811,,,,
,,,,,,
28308,3452,3815,,,,
,,,,,,
28408,3451,3813,,,,
,,,,,,
28508,3453,3814,,,,
,,,,,,
28608,3451,3811,,,,
,,,,,,
28708,3451,3811,,,,
,,,,,,
28808,3451,3811,,,,
,,,,,,
28908,3454,3811,,,,
,,,,,,
29008,3452,3813,,,,
,,,,,,
29108,3451,3813,,,,
,,,,,,
29208,3453,3815,,,,
,,,,,,
29308,3452,3813,,,,
,,,,,,
29408,3451,3813,,,,
,,,,,,
29508,3451,3815,,,,
,,,,,,
29608,3451,3814,,,,
,,,,,,
29708,3451,3813,,,,
,,,,,,
29808,3451,3815,,,,
,,,,,,
29908,3453,3815,,,,
,,,,,,
30008,3453,3814,,,,
,,,,,,
30108,3451,3811,,,,
,,,,,,
30208,3451,3811,,,,
,,,,,,
30308,3451,3815,,,,
,,,,,,
30408,3451,3813,,,,
,,,,,,
30508,3452,3815,,,,
,,,,,,
30608,3453,3815,,,,
,,,,,,
30708,3453,3815,,,,
,,,,,,
30808,3451,3813,,,,
,,,,,,
30908,3451,3813,,,,
,,,,,,
31008,3453,3813,,,,
,,,,,,
31108,3451,3811,,,,
,,,,,,
31208,3453,3813,,,,
,,,,,,
31308,3451,3813,,,,
,,,,,,
31408,3447,3812,,,,
,,,,,,
31508,3463,3814,,,,
,,,,,,
31608,3455,3815,,,,
,,,,,,
31708,3462,3814,,,,
,,,,,,
31808,3511,3813,,,,
,,,,,,
31908,3451,3811,,,,
,,,,,,
32008,3449,3812,,,,
,,,,,,
32108,3451,3814,,,,
,,,,,,
32208,3451,3813,,,,
,,,,,,
32308,3449,3813,,,,
,,,,,,
32408,3451,3812,,,,
,,,,,,
32508,3449,3812,,,,
,,,,,,
32608,3451,3813,,,,
,,,,,,
32708,3451,3815,,,,
,,,,,,
32808,3469,3813,,,,
,,,,,,
32908,3451,3811,,,,
,,,,,,
33008,3424,3812,,,,
,,,,,,
33108,3451,3812,,,,
,,,,,,
33208,3450,3811,,,,
,,,,,,
33308,3450,3813,,,,
,,,,,,
33408,3451,3811,,,,
,,,,,,
33508,3450,3812,,,,
,,,,,,
33608,3451,3815,,,,
,,,,,,
33708,3450,3812,,,,
,,,,,,
33808,3435,3811,,,,
,,,,,,
33908,3451,3809,,,,
,,,,,,
34008,3451,3815,,,,
,,,,,,
34108,3432,3811,,,,
,,,,,,
34208,3449,3811,,,,
,,,,,,
34308,3481,3813,,,,
,,,,,,
34408,3519,3813,,,,
,,,,,,
34508,3451,3813,,,,
,,,,,,
34608,3451,3813,,,,
,,,,,,
34708,3451,3813,,,,
,,,,,,
34808,3451,3815,,,,
,,,,,,
34908,3449,3811,,,,
,,,,,,
35008,3449,3813,,,,
,,,,,,
35108,3449,3811,,,,
,,,,,,
35208,3453,3811,,,,
,,,,,,
35308,3482,3811,,,,
,,,,,,
35408,3455,3811,,,,
,,,,,,
35508,3449,3812,,,,
,,,,,,
35608,3478,3813,,,,
,,,,,,
35708,3451,3813,,,,
,,,,,,
35808,3451,3811,,,,
,,,,,,
35908,3453,3815,,,,
,,,,,,
36008,3451,3811,,,,
,,,,,,
36108,3483,3813,,,,
,,,,,,
36208,3448,3812,,,,
,,,,,,
36308,3451,3813,,,,
,,,,,,
36408,3449,3811,,,,
,,,,,,
36508,3451,3814,,,,
,,,,,,
36608,3529,3815,,,,
,,,,,,
36708,3427,3814,,,,
,,,,,,
36808,3404,3813,,,,
,,,,,,
36908,3454,3815,,,,
,,,,,,
37008,3451,3811,,,,
,,,,,,
37108,3450,3811,,,,
,,,,,,
37208,3453,3814,,,,
,,,,,,
37308,3452,3815,,,,
,,,,,,
37408,3451,3812,,,,
,,,,,,
37508,3450,3811,,,,
,,,,,,
37608,3451,3811,,,,
,,,,,,
37708,3451,3811,,,,
,,,,,,
37808,3447,3811,,,,
,,,,,,
37908,3471,3813,,,,
,,,,,,
38008,3451,3815,,,,
,,,,,,
38108,3464,3813,,,,
,,,,,,
38208,3451,3815,,,,
,,,,,,
38308,3450,3811,,,,
,,,,,,
38408,3451,3812,,,,
,,,,,,
38508,3450,3811,,,,
,,,,,,
38608,3453,3812,,,,
,,,,,,
